Source,Song,ORGmaker,Filename,,
"9 Hours, 9 Persons, 9 Doors",Morphogentetic Sorrow,Pigaro,MorphogenicSorrow.org,,
Aaron Smith,Dancing Krono Remix,Dredged Crusader,Dancin.org,,
Abadox: The Deadly Inner War,#,Jazz Jackalope,abadox.org,,
Ace Combat 2,Lode Stone,SuperJaws100,Lode Stone.org,,
Action 52,Cheetahmen,Hina,Cheetahmen.org,,
Action 52,Dam Busters,2dbro,Action 52 - Dam Busters (Bad).org,,
Action 52,Dam Busters,2dbro,Action 52 - Dam Busters.org,,
Action 52,Dam Busters,2dbro,Action 52 -Dam Busters.org,,
Action 52,Dam Busters,2dbro,dam busters.org,,
Action 52,Dam Busters,Tpcool,A52 - DamBusters.org,,
Action 52,Fuzz Power,Tpcool,A52 - FuzzPower.org,,
Action 52,Ooze,Tpcool,A52 - Ooze.org,,
Action 52,Time Warp Tickers,2dbro,Action 52 - Time Warp Tickers.org,,
Advance Wars,Sturm,zeroflafi,Sturm.org,,
Advance Wars Dual Strike,Jake's Theme,Zeroflafi,AWDS - Jake's Theme.org,,
Advance Wars: Days of Ruins / Advance Wars: Dark Conflict,First Strike (Mode Select),Zeroflafi,First Strike (DoR Menu).org,,
Aesop Rock,None Shall Pass,ShinigamiMachine,None Shall Pass.org,,
Agent X,Title Screen,2dbro,agent x.org,,
Al Bowlley / The Caretaker,Heartaches / It's Just A Burning Memory,2dbro,ITSJUSTABURNINGMEMORY.org,,
Al Bowlley / The Caretaker,Heartaches / It's Just A Burning Memory,2dbro,ITSJUSTABURNINGMEMORYnightcore.org,,
Angry Video Game Nerd,Theme Song,2dbro,Angry Video Game Nerd - Theme Song.org,,
Annventure,Battle Against a Playful Opponent,RSK,Annventure - Battle Against a Playful Opponent - high res ver.org,,
Aphex Twin,Rhubarb,2dbro,Aphex_Twin_-_Rhubarb.org,,
Arseniy Shkljaev,Z-LEV43,AquaDoesStuff,Z-LEV43_lo0P.org,,
Arseniy Shkljaev,Z-LEV43,AquaDoesStuff,Z-LEV43.org,,
Avenged Sevenfold,Unholy Confessions,TheChosenOne521,unholyconfessions.org,,
Azumanga Daioh the Animation,Eyecatcher,Zeroflafi,Eyecatcher.org,,
Bag Raiders,Shooting Stars,2dbro,Bag Raiders - Shooting Stars.org,,
Bag Raiders,Shooting Stars,2dbro,shooting stars.org,,
Banjo Kazooie,Game Over,2dbro,gameoverkazo.org,,
Banjo Kazooie,Game Over,2dbro,strumgameover.org,,
Batman NES,Stage 1,2dbro,(Incomplete) Batman NES - Stage 1.org,,
Battle Kid 2: Mountain of Torment,Dark Memories to Come,Tpcool,BK2 - DarkMemoriesToCome.org,,
Battle Kid 2: Mountain of Torment,Volt Tower,Tpcool,BK2 - VoltTower.org,,
Battle Kid: Fortress of Peril,Password,Tpcool,BK - Password.org,,
Battletoads,Pause,2dbro,Pause.org,,
Battletoads,Turbo Tunnel (Speedbike Section),Zeroflafi,Battletoads - Turbo Tunnel Speedbike.org,,
BBC Radiophonic Workshop,Tamariu,2dbro,tamariu.org,,
BBC Radiophonic Workshop,Vespucci,2dbro,(Incomplete) BBC Radiophonic Workshop - Vespucci.org,,
Beatmania / DJ Taka,True Blue ,rde,TrueBlueShortLoop DJTaka.org,,
Better Caul Saul,Theme,AquaDoesStuff,saul_goodman.org,,
Bird and Beans,Main Theme,2dbro,pyoew.org,,
Bjork,Army of Me,2dbro,army of me.org,,
Black Sabbath,Black Sabbath,2dbro,electric funeral.org,,
Blaster Master,Level 1,2dbro,blamsta mamsta.org,,
Bleach,Ranbu no Melody,IdioticBaka1824,Ranbu.org,,
Bleach,Ichirin no Hana,IdioticBaka1824,1hana.org,,
Bleach,Alones,IdioticBaka1824,alones.org,,
Bleach,Soundscape to Ardor,IdioticBaka1824,Ardor.org,,
Bleach,Asterisk,IdioticBaka1824,asterisk.org,,
Bleach,Always With Me In Mind,IdioticBaka1824,AWMIM.org,,
Bleach,Fade to Black B13a,IdioticBaka1824,b13a.org,,
Bleach,Change,IdioticBaka1824,chAngE.org,,
Bleach,Change,IdioticBaka1824,chAngE2.org,,
